epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,97636.1,0.85173,0.57182,1.1085,0.82783,0.86211,0.86341,0.64496,0.75793,5.05521,0.99212,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,98792.8,0.84348,0.55275,1.10333,0.8427,0.82101,0.87541,0.65679,0.76082,4.82893,0.99865,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,99963,0.85429,0.55681,1.10274,0.89083,0.83233,0.90381,0.68377,0.75934,3.71729,0.99663,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,102574,0.84182,0.54655,1.09464,0.83057,0.83779,0.86942,0.64996,0.75384,4.46711,0.99501,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,105495,0.85159,0.55613,1.10639,0.82674,0.85978,0.88196,0.67093,0.75949,4.73559,0.99085,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,107461,0.82461,0.53771,1.09455,0.86035,0.8397,0.88075,0.66456,0.75281,4.51845,0.99202,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,109230,0.84374,0.54713,1.09664,0.84463,0.85008,0.90002,0.68422,0.73667,4.42046,0.98275,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,110487,0.82706,0.5306,1.09587,0.88301,0.83967,0.90246,0.68012,0.7422,3.4867,0.98576,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,112008,0.81744,0.52656,1.08756,0.86772,0.84822,0.89295,0.67707,0.74083,3.61487,0.98378,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,113220,0.81346,0.52248,1.08773,0.85884,0.84023,0.87744,0.6719,0.73957,4.44862,0.98331,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,114621,0.80047,0.49997,1.08003,0.87285,0.84807,0.90476,0.68832,0.74324,3.5991,0.9808,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
